Trial_id,Probe,Target,Ass_strength,Category,Wlevel,,,,Probe,,,,,,,,,Target,,,,,,,
45,mop,skin,0.0689655,ur,0,,,,,4.08,4.16,3.08,0.71,3,-1,502,,,90.34,96.45,12.31,1.96,4,603,-1
46,shrew,grate,0.0689655,ur,0,,,,,1.79,1.93,0,0.45,5,-1,429,,,2.29,2.41,0.77,0.52,5,424,494
47,juice,sand,0.0833333,ur,0,,,,,20.39,21.81,2.31,1.33,5,593,-1,,,54.25,57.77,9.23,1.74,4,603,-1
48,flag,lettuce,0.0833333,ur,0,,,,,19.89,20.48,12.31,1.32,4,607,-1,,,6.42,6.87,0.77,0.87,7,635,-1
49,zebra,jacket,0.0862069,ur,0,,,,,1.28,1.27,1.54,0.36,5,-1,648,,,34.47,36.69,6.15,1.55,6,632,-1
50,dart,clover,0.0862069,ur,0,,,,,4.3,4.52,1.54,0.72,4,597,-1,,,5.75,6.2,0,0.83,6,606,-1
51,tornado,pup,0.0862069,ur,0,,,,,1.9,2.05,0,0.46,7,591,-1,,,0.89,0.9,0.77,0.28,3,624,-1
52,deer,thumb,0.0933908,ur,0,,,,,11.68,12.47,1.54,1.1,4,624,-1,,,22.85,24.28,4.62,1.38,5,599,-1
53,bandana,bamboo,0.1278736,ur,0,,,,,0,0,0,0,7,-1,-1,,,5.87,6.33,0,0.84,6,552,-1
54,uncle,loan,0.1666667,ur,0,,,,,59.27,62.35,20,1.78,5,574,-1,,,18.99,19.94,6.92,1.3,4,419,332
55,hall,ivy,0.1666667,ur,0,,,,,120.67,122.23,100.77,2.09,4,559,-1,,,5.31,5.72,0,0.8,3,551,-1
56,platform,toothpaste,0.2428161,ur,0,,,,,24.86,25.96,10.77,1.41,8,529,-1,,,1.84,1.99,0,0.45,10,-1,-1
57,depth,plumber,0.2500000,ur,0,,,,,26.37,25.06,43.08,1.44,5,-1,455,,,2.57,2.11,8.46,0.55,7,-1,569
58,cleaver,coffee,0.2500000,ur,0,,,,,1.23,1.08,3.08,0.35,7,478,-1,,,91.84,92.53,83.08,1.97,6,618,-1
59,hall,oats,0.2500000,ur,0,,,,,120.67,122.23,100.77,2.09,4,559,-1,,,5.36,5.6,2.31,0.8,4,-1,-1
60,roach,fat,0.2500000,ur,0,,,,,6.37,6.87,0,0.87,5,365,-1,,,86.03,91.75,13.08,1.94,3,574,-1
61,rain,mitten,1.0000000,low,1,,,,,71.56,75.24,24.62,1.86,4,618,-1,,,0,0,0,0,6,-1,-1
62,cheek,chops,1.0000000,low,1,,,,,24.75,26.57,1.54,1.41,5,561,-1,,,3.13,2.95,5.38,0.62,5,-1,-1
