Trial_ID,Probe,Target
124,paper,word
192,shop,basket
94,suitcase,bikini
189,soup,cabbage
161,garden,flower
19,goat,jacket
102,wood,antler
200,curtain,kitchen
44,brain,ocean
130,photo,profile
15,kiwi,locker
203,gate,bull
73,runner,cup
1,cottage,thigh
125,fire,forest
199,muscle,bandage 
173,thread,stitch
36,washer,lily
116,office,politician
82,hair ,navel
71,tongue,cake
215,seaweed,crab
23,peacock,typhoon
141,leopard,zoo
126,flask,gin
137,shed,spade
207,circus,beard
65,salt,jellyfish
158,bread,braid
153,paddle,kayak
225,patient,hospital
2,television,root
132,skill,science
114,speech ,text
4,prune,poker
18,hanger,policeman
85,chest,loot
222,pacifier,infant
75,stool,cocktail
191,radio,vinyl
24,vault,ewe
95,childhood,marbles
206,dough,barbeque
167,veil,bride
154,apple,orchard
39,turban,cedar
168,belt,vest
13,seagulls,keyboard
9,pipe,match
66,wood,mountain
20,error,ship
57,depth,plumber
122,barn,rat
10,blazer,foal
12,wheat,trophy
226,banker,finance
118,compost,daffodils
