Trial_ID,Probe,Target
156,scales,weights
46,shrew,grate
155,menu,meal
56,platform,toothpaste
63,disc,sport
197,card,dice
198,teacher,protractor
144,method,recipe
104,apron,serviette
93,mud,harvester
204,poetry,heaven
117,judge,gavel
8,javelin,kettle
181,batteries,console
67,thunder,coast
84,confetti,helium
139,firework,lighter
208,campervan,graffiti
90,meal,liquid
97,coasters,bowl
169,spacecraft,astronaut
138,language,voice
83,cat,wool
59,hall,oats
210,monk,abbey
106,receipt,bag
79,goggles,towel
142,tractor,hay
209,theater,film
188,rocks,seaside
5,cod,pen
201,flat,staircase
48,flag,lettuce
179,bed,duvet
177,volcano ,lava
108,painting,chalk
53,bandana,bamboo
29,bracelet,flea
21,canyon,elf
25,handcuffs,birch
52,deer,thumb
185,pie,crust
109,lager,lime
37,army,crag
64,toilet,sponge
31,earphone,handwriting
49,zebra,jacket
178,rocket ,space
27,basketball,dessert
183,coal,chimney
110,laminator,sellotape
61,rain,mitten
88,boot,trail
50,dart,clover
87,worm,pear
26,farmyard,sergeant
43,vinegar,bone
